Marka;Ana Grup;Branş;Kategori;Ürün Grubu;Cinsiyeti Açıklama;Ürün Kodu;Ürün Adı;Renk Kodu;Renk Açıklaması;Beden;Stok;Barkod;Lot barkodu;;2. lot barkodu;;tsf;tspsf
ADİDAS;AYAKKABI;SPORTSWEAR;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;ID3709;VL COURT BASE;10.3912;FTWWHT/SHANAV/GREONE;8-;153;4067886618411;L0000000084417;6-/1 , 7/1 , 7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10/1 , 10-/1;L0000000084781;7/1 , 7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10/1 , 10-/1;2.817,27;3.099,00
ADİDAS;AYAKKABI;SPORTSWEAR;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;ID3709;VL COURT BASE;10.3912;FTWWHT/SHANAV/GREONE;10;75;4067886618381;L0000000084417;6-/1 , 7/1 , 7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10/1 , 10-/1;L0000000084781;7/1 , 7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10/1 , 10-/1;2.817,27;3.099,00
ADİDAS;AYAKKABI;SPORTSWEAR;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;ID3709;VL COURT BASE;10.3912;FTWWHT/SHANAV/GREONE;5-;4;4067889786988;L0000000084417;6-/1 , 7/1 , 7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10/1 , 10-/1;L0000000084781;7/1 , 7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10/1 , 10-/1;2.817,27;3.099,00
ADİDAS;AYAKKABI;SPORTSWEAR;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;ID3709;VL COURT BASE;10.3912;FTWWHT/SHANAV/GREONE;9-;76;4067886618367;L0000000084417;6-/1 , 7/1 , 7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10/1 , 10-/1;L0000000084781;7/1 , 7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10/1 , 10-/1;2.817,27;3.099,00
ADİDAS;TEKSTİL;FOOTBALL/SOCCER;FOOTBALL APP GENERIC MEN;SHORTS;ERKEK;IB8087;TIRO 23 SHO;10.2687;TEAGRN/WHITE;S;17;4065432796071;L0000000081405;S/1 , M/2 , L/2 , XL/1 , 2XL/1;L0000000083081;S/1 , M/2 , L/2 , XL/1;1.180,91;1.299,00
ADİDAS;TEKSTİL;FOOTBALL/SOCCER;FOOTBALL APP GENERIC MEN;SHORTS;ERKEK;IB8087;TIRO 23 SHO;10.2687;TEAGRN/WHITE;L;29;4065432796040;L0000000081405;S/1 , M/2 , L/2 , XL/1 , 2XL/1;L0000000083081;S/1 , M/2 , L/2 , XL/1;1.180,91;1.299,00
ADİDAS;TEKSTİL;FOOTBALL/SOCCER;FOOTBALL APP GENERIC MEN;SHORTS;ERKEK;IB8087;TIRO 23 SHO;10.2687;TEAGRN/WHITE;2XL;2;4065432799126;L0000000081405;S/1 , M/2 , L/2 , XL/1 , 2XL/1;L0000000083081;S/1 , M/2 , L/2 , XL/1;1.180,91;1.299,00
ADİDAS;TEKSTİL;FOOTBALL/SOCCER;FOOTBALL APP GENERIC MEN;SHORTS;ERKEK;IB8087;TIRO 23 SHO;10.2687;TEAGRN/WHITE;XL;17;4065432799065;L0000000081405;S/1 , M/2 , L/2 , XL/1 , 2XL/1;L0000000083081;S/1 , M/2 , L/2 , XL/1;1.180,91;1.299,00
ADİDAS;TEKSTİL;FOOTBALL/SOCCER;FOOTBALL APP GENERIC MEN;SHORTS;ERKEK;IB8087;TIRO 23 SHO;10.2687;TEAGRN/WHITE;M;46;4065432799072;L0000000081405;S/1 , M/2 , L/2 , XL/1 , 2XL/1;L0000000083081;S/1 , M/2 , L/2 , XL/1;1.180,91;1.299,00
JOMA;AYAKKABI;GÜNLÜK YAŞAM;GÜNLÜK;SPOR AYAKKABI;KADIN;CATRLW2501;ATREYU LADY 2501 BLACK;20.001;SİYAH;37;4;8447368130864;L0000000080301;Kadın 6'li 37 × 1  38 × 2  39 × 2  40 × 1;;;2.362,19;3.779,50
JOMA;AYAKKABI;GÜNLÜK YAŞAM;GÜNLÜK;SPOR AYAKKABI;KADIN;CATRLW2501;ATREYU LADY 2501 BLACK;20.001;SİYAH;40;5;8447368130895;L0000000080301;Kadın 6'li 37 × 1  38 × 2  39 × 2  40 × 1;;;2.362,19;3.779,50
JOMA;AYAKKABI;GÜNLÜK YAŞAM;GÜNLÜK;SPOR AYAKKABI;KADIN;CATRLW2501;ATREYU LADY 2501 BLACK;20.001;SİYAH;36;1;8447368436386;L0000000080301;Kadın 6'li 37 × 1  38 × 2  39 × 2  40 × 1;;;2.362,19;3.779,50
JOMA;AYAKKABI;GÜNLÜK YAŞAM;GÜNLÜK;SPOR AYAKKABI;KADIN;CATRLW2501;ATREYU LADY 2501 BLACK;20.001;SİYAH;38;6;8447368130871;L0000000080301;Kadın 6'li 37 × 1  38 × 2  39 × 2  40 × 1;;;2.362,19;3.779,50
JOMA;AYAKKABI;GÜNLÜK YAŞAM;GÜNLÜK;SPOR AYAKKABI;KADIN;CATRLW2501;ATREYU LADY 2501 BLACK;20.001;SİYAH;39;6;8447368130888;L0000000080301;Kadın 6'li 37 × 1  38 × 2  39 × 2  40 × 1;;;2.362,19;3.779,50
JOMA;AYAKKABI;GÜNLÜK YAŞAM;GÜNLÜK;SPOR AYAKKABI;KADIN;CATRLW2501;ATREYU LADY 2501 BLACK;20.001;SİYAH;41;3;8447368130918;L0000000080301;Kadın 6'li 37 × 1  38 × 2  39 × 2  40 × 1;;;2.362,19;3.779,50
JOMA;TEKSTİL;FUTBOL;ANTRENMAN;EŞOFMAN ALTI;ERKEK;102752.102;ECO CHAMPIONSHIP LONG PANTS BLACK WHITE;20.111;SİYAH - BEYAZ;M;29;8445456371854;L0000000074966;S = 1 M = 2 L = 2 XL = 1;L0000000074979;S = 1 M = 2 L = 2;1.566,00;2.505,00
JOMA;TEKSTİL;FUTBOL;ANTRENMAN;EŞOFMAN ALTI;ERKEK;102752.102;ECO CHAMPIONSHIP LONG PANTS BLACK WHITE;20.111;SİYAH - BEYAZ;2XL;0;8445456371885;L0000000074966;S = 1 M = 2 L = 2 XL = 1;L0000000074979;S = 1 M = 2 L = 2;1.566,00;2.505,00
JOMA;TEKSTİL;FUTBOL;ANTRENMAN;EŞOFMAN ALTI;ERKEK;102752.102;ECO CHAMPIONSHIP LONG PANTS BLACK WHITE;20.111;SİYAH - BEYAZ;3XL;6;8445456371892;L0000000074966;S = 1 M = 2 L = 2 XL = 1;L0000000074979;S = 1 M = 2 L = 2;1.566,00;2.505,00
JOMA;TEKSTİL;FUTBOL;ANTRENMAN;EŞOFMAN ALTI;ERKEK;102752.102;ECO CHAMPIONSHIP LONG PANTS BLACK WHITE;20.111;SİYAH - BEYAZ;XL;9;8445456371878;L0000000074966;S = 1 M = 2 L = 2 XL = 1;L0000000074979;S = 1 M = 2 L = 2;1.566,00;2.505,00
JOMA;TEKSTİL;FUTBOL;ANTRENMAN;EŞOFMAN ALTI;ERKEK;102752.102;ECO CHAMPIONSHIP LONG PANTS BLACK WHITE;20.111;SİYAH - BEYAZ;L;32;8445456371861;L0000000074966;S = 1 M = 2 L = 2 XL = 1;L0000000074979;S = 1 M = 2 L = 2;1.566,00;2.505,00
JOMA;TEKSTİL;FUTBOL;ANTRENMAN;EŞOFMAN ALTI;ERKEK;102752.102;ECO CHAMPIONSHIP LONG PANTS BLACK WHITE;20.111;SİYAH - BEYAZ;S;16;8445456371847;L0000000074966;S = 1 M = 2 L = 2 XL = 1;L0000000074979;S = 1 M = 2 L = 2;1.566,00;2.505,00
JOMA;TEKSTİL;FUTBOL;MAÇ;FUTBOL FORMA;ERKEK;103150.102;CAMISETA MANGA CORTA WINNER III NEGRO BLANCO;20.111;SİYAH - BEYAZ;M;41;8445954508639;L0000000075161;S = 1 M = 2 L = 3 XL = 1 2XL = 1;L0000000075174;S = 1 M = 1 L = 1 XL = 1;785,00;1.256,00
JOMA;TEKSTİL;FUTBOL;MAÇ;FUTBOL FORMA;ERKEK;103150.102;CAMISETA MANGA CORTA WINNER III NEGRO BLANCO;20.111;SİYAH - BEYAZ;L;40;8445954508646;L0000000075161;S = 1 M = 2 L = 3 XL = 1 2XL = 1;L0000000075174;S = 1 M = 1 L = 1 XL = 1;785,00;1.256,00
JOMA;TEKSTİL;FUTBOL;MAÇ;FUTBOL FORMA;ERKEK;103150.102;CAMISETA MANGA CORTA WINNER III NEGRO BLANCO;20.111;SİYAH - BEYAZ;XL;38;8445954508653;L0000000075161;S = 1 M = 2 L = 3 XL = 1 2XL = 1;L0000000075174;S = 1 M = 1 L = 1 XL = 1;785,00;1.256,00
JOMA;TEKSTİL;FUTBOL;MAÇ;FUTBOL FORMA;ERKEK;103150.102;CAMISETA MANGA CORTA WINNER III NEGRO BLANCO;20.111;SİYAH - BEYAZ;2XL;20;8445954508660;L0000000075161;S = 1 M = 2 L = 3 XL = 1 2XL = 1;L0000000075174;S = 1 M = 1 L = 1 XL = 1;785,00;1.256,00
JOMA;TEKSTİL;FUTBOL;MAÇ;FUTBOL FORMA;ERKEK;103150.102;CAMISETA MANGA CORTA WINNER III NEGRO BLANCO;20.111;SİYAH - BEYAZ;S;15;8445954508622;L0000000075161;S = 1 M = 2 L = 3 XL = 1 2XL = 1;L0000000075174;S = 1 M = 1 L = 1 XL = 1;785,00;1.256,00
ADİDAS;TEKSTİL;FOOTBALL/SOCCER;FOOTBALL APP GENERIC MEN;SWEATSHIRTS;ERKEK;HI2128;ENT22 TR TOP;21.094;TMYELL/BLACK;2XL;5;4065425167925;L0000000081203;S/1 , M/2 , L/2 , XL/1 , 2XL/1;L0000000082857;S/1 , M/2 , L/2 , XL/1;1.362,73;1.499,00
ADİDAS;TEKSTİL;FOOTBALL/SOCCER;FOOTBALL APP GENERIC MEN;SWEATSHIRTS;ERKEK;HI2128;ENT22 TR TOP;21.094;TMYELL/BLACK;XL;16;4065425167819;L0000000081203;S/1 , M/2 , L/2 , XL/1 , 2XL/1;L0000000082857;S/1 , M/2 , L/2 , XL/1;1.362,73;1.499,00
ADİDAS;TEKSTİL;FOOTBALL/SOCCER;FOOTBALL APP GENERIC MEN;SWEATSHIRTS;ERKEK;HI2128;ENT22 TR TOP;21.094;TMYELL/BLACK;M;39;4065425167840;L0000000081203;S/1 , M/2 , L/2 , XL/1 , 2XL/1;L0000000082857;S/1 , M/2 , L/2 , XL/1;1.362,73;1.499,00
